tracking_number,status,delivered
S2DDMKOTCNCCXTMCP,delivered,2024-10-29T15:54:18.774Z
275c09da33f10f70e,delivered,2023-10-20T15:54:32.794Z
346fece125ce617d0,delivered,2024-09-28T15:39:12.726Z
4ec376fc917c90241,delivered,2024-12-07T17:59:52.038Z
8e6583f350e419024,delivered,2024-02-01T08:15:06.173Z
K5KBTMYNJQEXRAWZK,delivered,2024-05-30T19:49:05.962Z
ea94a29ca327562a1,delivered,2024-08-17T14:28:11.049Z
770c0a7deaf5c9a89,delivered,2024-05-18T19:33:55.774Z
85SE7KQ9TEN8YK7AA,delivered,2024-10-22T13:22:16.374Z
7832bd1c4ac1280d6,delivered,2024-06-16T05:42:35.518Z
bfda581e673a274c1,delivered,2024-06-12T14:12:06.316Z
19962b7862bbf4e90,delivered,2024-07-09T17:49:19.844Z
e60787b78427af2f2,delivered,2024-06-10T18:15:28.879Z
1d3fc4a9a5171bde2,delivered,2024-10-17T16:38:40.991Z
dDynpFM2KDpEzQao5,delivered,2024-06-15T21:21:43.996Z
K6TJJGHCYFDCFANWH,delivered,2024-08-22T15:39:44.185Z
b22f42b003e988b1f,delivered,2024-01-15T16:24:11.994Z
de2081f5cf8ebfdbf,delivered,2024-11-25T17:05:55.537Z
cb3d5576e757d1a0e,delivered,2024-10-19T12:48:06.285Z
5e2e7238ac8a051a2,delivered,2024-10-16T15:15:02.460Z
19df242cafb5bf7e7,delivered,2024-11-16T15:17:41.370Z
e64d1928f796afb80,delivered,2023-05-11T15:03:09.040Z
K5ZTLMD8HBFW52OPV,delivered,2023-02-26T15:00:05.201Z
